name,price,rating,image_path
A Light in the Attic,51.77,3,data/raw/raw_images\A Light in the Attic.jpg
Tipping the Velvet,53.74,1,data/raw/raw_images\Tipping the Velvet.jpg
Soumission,50.1,1,data/raw/raw_images\Soumission.jpg
Sharp Objects,47.82,4,data/raw/raw_images\Sharp Objects.jpg
Sapiens: A Brief History of Humankind,54.23,5,data/raw/raw_images\Sapiens A Brief History of Humankind.jpg
The Requiem Red,22.65,1,data/raw/raw_images\The Requiem Red.jpg
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,data/raw/raw_images\The Dirty Little Secrets of Getting Your Dream Job.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,"data/raw/raw_images\The Coming Woman A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull.jpg"
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,data/raw/raw_images\The Boys in the Boat Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics.jpg
The Black Maria,52.15,1,data/raw/raw_images\The Black Maria.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,"data/raw/raw_images\Starving Hearts (Triangular Trade Trilogy, #1).jpg"
Shakespeare's Sonnets,20.66,4,data/raw/raw_images\Shakespeare's Sonnets.jpg
Set Me Free,17.46,5,data/raw/raw_images\Set Me Free.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,data/raw/raw_images\Scott Pilgrim's Precious Little Life (Scott Pilgrim #1).jpg
Rip it Up and Start Again,35.02,5,data/raw/raw_images\Rip it Up and Start Again.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,"data/raw/raw_images\Our Band Could Be Your Life Scenes from the American Indie Underground, 1981-1991.jpg"
Olio,23.88,1,data/raw/raw_images\Olio.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,data/raw/raw_images\Mesaerion The Best Science Fiction Stories 1800-1849.jpg
Libertarianism for Beginners,51.33,2,data/raw/raw_images\Libertarianism for Beginners.jpg
It's Only the Himalayas,45.17,2,data/raw/raw_images\It's Only the Himalayas.jpg
In Her Wake,12.84,1,data/raw/raw_images\In Her Wake.jpg
How Music Works,37.32,2,data/raw/raw_images\How Music Works.jpg
