name,price,rating,image_path
Sharp Objects,47.82,4,data/raw/raw_images\Sharp Objects.jpg
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,data/raw/raw_images\The Dirty Little Secrets of Getting Your Dream Job.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,data/raw/raw_images\The Boys in the Boat Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics.jpg
Shakespeare's Sonnets,20.66,4,data/raw/raw_images\Shakespeare's Sonnets.jpg
Wall and Piece,44.18,4,data/raw/raw_images\Wall and Piece.jpg
Behind Closed Doors,52.22,4,data/raw/raw_images\Behind Closed Doors.jpg
Untitled Collection: Sabbath Poems 2014,14.27,4,data/raw/raw_images\Untitled Collection Sabbath Poems 2014.jpg
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,"data/raw/raw_images\Unseen City The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness.jpg"
This One Summer,19.49,4,data/raw/raw_images\This One Summer.jpg
The Past Never Ends,56.5,4,data/raw/raw_images\The Past Never Ends.jpg
