name,price,rating,image_path
A Light in the Attic,Â£51.77,Three,data/raw/raw_images\A Light in the Attic.jpg
Tipping the Velvet,Â£53.74,One,data/raw/raw_images\Tipping the Velvet.jpg
Soumission,Â£50.10,One,data/raw/raw_images\Soumission.jpg
Sharp Objects,Â£47.82,Four,data/raw/raw_images\Sharp Objects.jpg
Sapiens: A Brief History of Humankind,Â£54.23,Five,data/raw/raw_images\Sapiens A Brief History of Humankind.jpg
The Requiem Red,Â£22.65,One,data/raw/raw_images\The Requiem Red.jpg
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,Four,data/raw/raw_images\The Dirty Little Secrets of Getting Your Dream Job.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,Three,"data/raw/raw_images\The Coming Woman A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull.jpg"
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,Four,data/raw/raw_images\The Boys in the Boat Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics.jpg
The Black Maria,Â£52.15,One,data/raw/raw_images\The Black Maria.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,Two,"data/raw/raw_images\Starving Hearts (Triangular Trade Trilogy, #1).jpg"
Shakespeare's Sonnets,Â£20.66,Four,data/raw/raw_images\Shakespeare's Sonnets.jpg
Set Me Free,Â£17.46,Five,data/raw/raw_images\Set Me Free.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,Five,data/raw/raw_images\Scott Pilgrim's Precious Little Life (Scott Pilgrim #1).jpg
Rip it Up and Start Again,Â£35.02,Five,data/raw/raw_images\Rip it Up and Start Again.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,Three,"data/raw/raw_images\Our Band Could Be Your Life Scenes from the American Indie Underground, 1981-1991.jpg"
Olio,Â£23.88,One,data/raw/raw_images\Olio.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,One,data/raw/raw_images\Mesaerion The Best Science Fiction Stories 1800-1849.jpg
Libertarianism for Beginners,Â£51.33,Two,data/raw/raw_images\Libertarianism for Beginners.jpg
It's Only the Himalayas,Â£45.17,Two,data/raw/raw_images\It's Only the Himalayas.jpg
In Her Wake,Â£12.84,One,data/raw/raw_images\In Her Wake.jpg
How Music Works,Â£37.32,Two,data/raw/raw_images\How Music Works.jpg
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,Three,"data/raw/raw_images\Foolproof Preserving A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More.jpg"
Chase Me (Paris Nights #2),Â£25.27,Five,data/raw/raw_images\Chase Me (Paris Nights #2).jpg
Black Dust,Â£34.53,Five,data/raw/raw_images\Black Dust.jpg
Birdsong: A Story in Pictures,Â£54.64,Three,data/raw/raw_images\Birdsong A Story in Pictures.jpg
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,Three,data/raw/raw_images\America's Cradle of Quarterbacks Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana.jpg
Aladdin and His Wonderful Lamp,Â£53.13,Three,data/raw/raw_images\Aladdin and His Wonderful Lamp.jpg
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,Five,data/raw/raw_images\Worlds Elsewhere Journeys Around Shakespeareâs Globe.jpg
Wall and Piece,Â£44.18,Four,data/raw/raw_images\Wall and Piece.jpg
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,Five,data/raw/raw_images\The Four Agreements A Practical Guide to Personal Freedom.jpg
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,Three,data/raw/raw_images\The Five Love Languages How to Express Heartfelt Commitment to Your Mate.jpg
The Elephant Tree,Â£23.82,Five,data/raw/raw_images\The Elephant Tree.jpg
The Bear and the Piano,Â£36.89,One,data/raw/raw_images\The Bear and the Piano.jpg
Sophie's World,Â£15.94,Five,data/raw/raw_images\Sophie's World.jpg
Penny Maybe,Â£33.29,Three,data/raw/raw_images\Penny Maybe.jpg
Maude (1883-1993):She Grew Up with the country,Â£18.02,Two,data/raw/raw_images\Maude (1883-1993)She Grew Up with the country.jpg
"In a Dark, Dark Wood",Â£19.63,One,"data/raw/raw_images\In a Dark, Dark Wood.jpg"
Behind Closed Doors,Â£52.22,Four,data/raw/raw_images\Behind Closed Doors.jpg
You can't bury them all: Poems,Â£33.63,Two,data/raw/raw_images\You can't bury them all Poems.jpg
Slow States of Collapse: Poems,Â£57.31,Three,data/raw/raw_images\Slow States of Collapse Poems.jpg
Reasons to Stay Alive,Â£26.41,Two,data/raw/raw_images\Reasons to Stay Alive.jpg
Private Paris (Private #10),Â£47.61,Five,data/raw/raw_images\Private Paris (Private #10).jpg
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,Five,data/raw/raw_images\#HigherSelfie Wake Up Your Life. Free Your Soul. Find Your Tribe..jpg
Without Borders (Wanderlove #1),Â£45.07,Two,data/raw/raw_images\Without Borders (Wanderlove #1).jpg
When We Collided,Â£31.77,One,data/raw/raw_images\When We Collided.jpg
"We Love You, Charlie Freeman",Â£50.27,Five,"data/raw/raw_images\We Love You, Charlie Freeman.jpg"
Untitled Collection: Sabbath Poems 2014,Â£14.27,Four,data/raw/raw_images\Untitled Collection Sabbath Poems 2014.jpg
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,Four,"data/raw/raw_images\Unseen City The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness.jpg"
Unicorn Tracks,Â£18.78,Three,data/raw/raw_images\Unicorn Tracks.jpg
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,One,"data/raw/raw_images\Unbound How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink.jpg"
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,One,data/raw/raw_images\Tsubasa WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2).jpg
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,Three,data/raw/raw_images\Throwing Rocks at the Google Bus How Growth Became the Enemy of Prosperity.jpg
This One Summer,Â£19.49,Four,data/raw/raw_images\This One Summer.jpg
Thirst,Â£17.27,Five,data/raw/raw_images\Thirst.jpg
The Torch Is Passed: A Harding Family Story,Â£19.09,One,data/raw/raw_images\The Torch Is Passed A Harding Family Story.jpg
The Secret of Dreadwillow Carse,Â£56.13,One,data/raw/raw_images\The Secret of Dreadwillow Carse.jpg
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,One,"data/raw/raw_images\The Pioneer Woman Cooks Dinnertime Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!.jpg"
The Past Never Ends,Â£56.50,Four,data/raw/raw_images\The Past Never Ends.jpg
The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,Three,data/raw/raw_images\The Natural History of Us (The Fine Art of Pretending #2).jpg
